SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration,artist
$copie,$O$,https://open.spotify.com/album/7Ja0MmZhnVdFjs5QOPj1lj,2010,4606632,"Ho$h, kykie kinders!
Ons gaan mos nou lekker naai, nè?
I got what you want boy, I got what you want
I got what you want boy, you never going to get it
I got what you want boy, I got what you want
No you never going to get it, so you might as well forget it
Yo ninja innie moederfokken huisie
I zone in duk when I move up on a meisie
Hello baby, kiss, kiss! (soen) kykie
Hoesit, kan ek my piel binne in jou poes sit?
Uh, that's how I'm rolling
Poes koel status, zoning for a boning
Rap fantasy with a real life touch
Uh, feel my rush
I'm wys ripping to the bass, tripping off my face
I'm laced, you with a phrase, put you in a daze
Rap-rave t-t-t-to the grave sinne binne my
Vat vyf, my piel is styf binne in jou lyf
Say my name! Ninja! We can play a game
Vat 'n kans, my fuckin' rhymes put you in a trance
Skud jou boude, skud-skud jou boude
I hope you can like it in the hole, nè?
I got what you want boy, I got what you want
I got what you want boy, you never going to get it
I got what you want boy, I got what you want
No you never going to get it, so you might as well forget it
No you never going to get it, so you might as well forget it
Ho$h ninja's back what a fuckin jol
Nog 'n fokken fat track, kom ons klap n zol
Tsek dis kif giftig marijuana
Kom ons vat die twee poppies terug na die kamer
Got 'n bottel brandewyn van sollykramers
My body's like a gladiator's body armour
Feel my force
Haal uit my wors, mors op jou bors
Next, fokkit dis a friday night
Sex, here fokkit, my brains fried
Ek's sien nog 'n poppie daar by die sokkie
Ek soek dis chicks lip-stick op my dip-stick
Ons tsil daar by die speaker
Sy's skaam, ek verstaan, yo haar naam is marieke
Ek sit my hand op haar titte
My piel raak hard soos n nine millimeter
I got what you want boy, I got what you want
I got what you want boy, you never going to get it
I got what you want boy, I got what you want
No you never going to get it, so you might as well forget it
Sies! What die fok issit? Pis?
♪
No man, it's daai vaginal fluids!
Jy lieg!
No really, it are from that chick playing wif her koeksister
Da smell are reminding me of the sea
It makes me want to party bru!
My piel dans so!
No-no-no!
No means yes
I got what you want boy, i got what you want
♪
I got what you want boy, you never going to get it
I got what you want boy, i got what you want
No you never going to get it, so you might as well forget it
But I am the one!
♪
The one wat fokkol poes vanaand gaan kry!",https://open.spotify.com/track/2rTjC1PYwenrBbAjBgxrfP,192,DieAntwoord
2•GOLDEN DAWN•7,2•GOLDEN DAWN•7,https://open.spotify.com/album/3kOlbclgj0GglpzBfUGS88,2018,6421323,"I've seen it all
Face carved out of stone, unreadable
Pretty wise and ugly on the skin
Lovely from within
Baby I love you
And my love is true
You're my everything, I will do anything for you
I would give up all this pretty real shit for you
If you sad, I cry for you
If I have to I'll die for you
Baby I love you
And my love is true
You're my everything, I will do anything for you
I would give up all this pretty real shit for you
If you sad, I cry for you
If I have to I'll die for you
I am the man, the myth
Ninja dominator (Salut, Ninja!)
Fuckboy come sneak this bitch
Fuck you, I'm the danger
I do this thing
Called whatever the fuck I want
(Dare you to look)
I'll show you that I can if you tell me that I can't
The fucking thunder pound, with the underground
Crack, dope, banana whippin'
One life, two wives, 'cause I fuck it up when I slam
We don't explain, we don't complain
Just stick to the fuckin' mission
Set the standard, take the lead, eliminate the competition
I seen it all
When you comin' up and all the motherfuckers wanna see you fall
I don't ever drop the ball, and I'm popping off, so fuck 'em all
I'm on a mission impossible
Yo fuckin' unstoppable
Baby, let's rock and roll
Baby I love you
And my love is true
You're my everything, I will do anything for you
I would give up all this pretty real shit for you
If you sad, I cry for you
If I have to I'll die for you
Baby I love you
And my love is true
You're my everything, I will do anything for you
I would give up all this pretty real shit for you
If you sad, I cry for you
If I have to I'll die for you
Motherfuckers feelin' my passion, others feelin' my pain
Got a lot of real fucked up shit goin' on in my brain
I walk the ledge and I'm on the edge and I'm really tryna' maintain
All I wanna do is bust out and go motherfuckin' insane
I crush it up and I roll it up and I spark it up and I bam
Yo pump it up, I been comin' up, 'cause I fuck it up when I slam
I'm all about that sick kick, I'm all about that rush
Yo i'm untouchable, try me bitch, and you're gonna get touched
I seen it all
Been through hell and back, but I beat 'em all
I do this thing
Called whatever the fuck I want
I'll show yo dad I can if he tell me that I can't
I'm a zef African American
Big guns, we carry them
Our baby mommas, we marry them
Fake motherfuckers, we bury them
I'm a zef African American
Big guns, we carry them
Our baby mommas, we marry them
Fake motherfuckers, we bury them
Baby I love you
And my love is true
You're my everything, I will do anything for you
I would give up all this pretty real shit for you
If you sad, I cry for you
If I have to, I'll die for you
Baby I love you
And my love is true
You're my everything, I will do anything for you
I would give up all this pretty real shit for you
If you sad, I cry for you
If I have to, I'll die for you
Hi-Tek five-thousand",https://open.spotify.com/track/24JZqWlglnEfqYUZe2ugPm,289,DieAntwoord
Age Of Illusion,Age Of Illusion,https://open.spotify.com/album/56zia7byXUEiTcmKxcKQgU,2022,5273751,"It's the Age of Illusion
The Age of Illusion
Everyone is beautiful
Everything is fine
In The Land of Illusion
The water babies speak Japanese
And the faeries drink wine
Everyone is beautiful
Everyone is gay
In the Land of Illusion
We paint our faces with chocolate cake
And everything's okay
♪
Hahahaha!
Let's go
Yo! Let's go
To the Land of Illusion
The Land of Illusion
Everyone is beautiful
Everything is chill
Everyone is famous
Evеryone is happy
Let's pop another bluе pill
Blue pills
I got mad blue pills
Blue pills
I got big black pupils
なぜ私は日本が大好きなのですか?
なぜ私は日本が大好きなのですか?
私は前世で日本人でしたか?
たぶん
たぶん
In the Land of Illusion
The Land of Illusion
Everyone is beautiful
Everything is fine
In the Land of Illusion
The water babies speak Japanese
And the faeries drink wine",https://open.spotify.com/track/5jjH6vi22zsOAV2l7ZjqZx,261,DieAntwoord
Alien,Mount Ninji And Da Nice Time Kid,https://open.spotify.com/album/4FrKhXf6FmfUjTy2fPcmiI,2016,17927575,"I am a alien
♪
No matter how hard I try I don't fit in
Always all on my own,
Sad and lonely
All I want is for someone to play with me
Long ago I was a little girl yeah I was never ever able to fit in
My teachers at school would try to tell me what to do but, yo I would never listen
'Cause I was high all the time, stoned out of my little fucking mind
Misunderstood, lost and confused looking for a sign
All the popular kids at school were always super mean to me and made me cry
I never knew what I should do so I just walked away and said ""Fuck off and die""
They said that I'm weird, that I'm ugly, and that I suck
I knew that one day all of those kids would grow up to be boring as fuck
I am a alien
No matter how hard I try I don't fit in
Always all on my own, sad and lonely
All I want is for someone to play with me
I am a alien
No matter how hard I try I don't fit in
Always all on my own, sad and lonely
All I want is for someone to play with me
I close my eyes and float into the night I like to let my mind drift
Make a jump into a new dimension
Thank God I got that gift
Ever since I was a little kid
Always on that next shit
These whack copycat ball bags can suck my motherfucking dick
Sometimes it feels like coming from this planet people are so sick and twisted
I don't wanna fit in anyway, I'd rather be a misfit
Fuck a normal life, that's lame, me I'm insane in the brain
They love-a me because I'm different,
I love-a them because they're all the same
I am a alien
No matter how hard I try I don't fit in
Always all on my own, sad and lonely
All I want is for someone to play with me
I am a alien
No matter how hard I try I don't fit in
Always all on my own, sad and lonely
All I want is for someone to play with me
La, la, la, la, la, la, la
La, la, la, la, la, la, la, la, la, la
La, la, la
La, la, la, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la, la, la
La, la, la
La, la, la, la, la, la, la, la, la, la, la",https://open.spotify.com/track/2P8wndZLW1QnByitJ0Clv2,256,DieAntwoord
Baby's On Fire,Ten$ion,https://open.spotify.com/album/3FJydX4zwGGNIwlcPlxrYt,2012,144680835,"Baby's on fire!
Boom!
Boom-boom!
Showtime! Motherfucker, it's on
Apocalypse now, I'm dropping this bomb
You can't fuck with this song
I'll stick to this splif, I'm not klapping this bong
I'm a wild child, I don't wanna go to bed
Uh, shit, sorry man, I'm stoned again
Wooh! Now everything's getting so psychedelic
When I'm doos dronk and I forget all my fokken lyrics
Like, ""Uhm... Uh,"" who gives a fuck?
Don't worry 'bout it, just blow a kiss to me
I like danger, romance, and mystery
I'm a lucky ducky, get mad shit for free
I rock more bling than Mr. T
I make it look easy 'cause it is to me
My daddy says it's lekker fokken spif to see
A South African cherrie making history
Baby's on fire
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
Baby's on fire
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
Baby's on fire
Baby's on fire
Baby's on fire
Baby's on fire
♪
H-H-H-H-Hi-Tek, drop that four to the floor
I get real paid, what you think I do this for?
My bodyguard help me get to the bar
Neill Blomkamp's making me a movie star
A lot of bad boys wanna piece of me
If you're lucky, boy, I'll let you sneak a peek
My zef style's motherfuckin' freaky-deak
I don't got beef 'cause I don't eat no meat
I'm on some other shit, yo, I know I speak unique
Fuck your whole shit up when I freak the beat
I love it when Kimmy talks sweet to me
C'mon, c'mon, Kimmy, Kimmy, speak to me
I take a trip down memory lane
Like, ""Yo, fuck 15 seconds of fame""
I'm a young blood coming up fresh in the game
Yo-Landi Visser, motherfucker, yo, remember the name
Baby's on fire
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
Baby's on fire
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
Baby's on fire
Baby's on fire
Baby's on fire
Baby's on fire
♪
Ahh, freak out!
No need to get so deep
Nothing quite like a motherfuckin' techno beat
A techno beat, a techno beat
A techno, a techno, a techno beat
Just say, ""What's up?"", don't try to get so deep
You know me, maar ek ken jou nie
Ek ken jou nie, ek ken jou nie
Ek ken jou, ek ken jou, ek ken jou nie
♪
Baby's on fire
Baby's on fire
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
Baby's on fire
She got me going fucking crazy, soos a mal naaier
Oh jirre! God se Jesus!
Baby's on fire
Baby's on fire
Baby's on fire
Baby's on fire
♪
Baby's on fire
Flame on, motherfuckers",https://open.spotify.com/track/6mlGXuG5FmzcePHsMn6rIA,236,DieAntwoord
Baita Jou Sabela,Baita Jou Sabela,https://open.spotify.com/album/5xJczwVgu0C6BvjfmbwgjT,2019,3657977,"Hom! Salute
Laat ons siementela voor ons niekietela
Jys mos wys
Dais hoe die ouens dala
Slagysta giena
Gedruk in n corner
Verskillende tronke
Manne van different gronde
Word gebind in n nommer
Gedruk in n corner
Verskillende tronke
Manne van different gronde
Word gebind in n nommer
Gedruk in n corner
Verskillende tronke
Manne van different gronde
Word gebind in n nommer
Gedruk in n corner
Verskillende tronke
Manne van different gronde
Word gebind in n nommer
Jy moet so pata en fundela
As jy kala bru baleka
Jy moet so dala en kan theta
Anners bra baita jou sabela
Jy moet so pata en fundela
As jy kala bru baleka
Jy moet so dala en kan theta
Anners bra baita jou sabela
Baita jou sabela
Jou sabela
Baita jou sabela
Jou sabela
Baita jou sabela
Jou sabela
Baita jou sabela
Jou sabela
Flame on muddafucka don't touch baby girl 2hot2handle
All eyes on me (is ja) sommer stiek uit in a lambo
Jy praat n klomp kak maar jy kannie staanie, waars jy nou my bru?
Baita jou sabela naaier
Don't follow me, I hate you
I'm made of sugar and spice and everything nice, with a little bit of evil
Why does it feel so good to be bad? Everything I like is illegal!
Ja, da zef kid popping off! Los my uit tsy!
Jou ma se poes! Tsek! Wies jy? -Uh uh! Shuddup! Miniete! Fokkof!
Hosh
Salute
Dala Rot is my stalaza
En niemand sal my spasamieza
Ek staan knie diep in die bovana
Hom
Jy moet so pata en fundela
Wie maak hulle wys?
As jy kala bru baleka
Wie maak hulle wys?
Jy moet so dala en kan teta
Wie maak hulle wys?
Anders bra baita jou sabela
Wie maak hulle wys?
Jy moet so pata en fundela
Wie maak hulle wys?
As jy kala bru baleka
Wie maak hulle wys?
Jy moet so dala en kan teta
Wie maak hulle wys?
Anders bra baita jou sabela
Baita jou sabela
Jou sabela
Baita jou sabela
Jou sabela
Baita jou sabela
Jou sabela
Baita jou sabela
Jou sabela
Baita jou sabela
Salute virrie ouens wat kamandela
Nommer nommer nommer!
Salute Pollsmoor!
Salute Brandvlei!
Hosh Worcester!
Salute Helderstroom!
Salute Goodwood!
Hom Malmesbury!
Salute Voorberg!
Salute Drakenstein!
Die Stêr maak vol!
Laat die nommer skyn
Ons is skangaga!
Volle Nommer
SLAGYSTA!",https://open.spotify.com/track/4EkzRLJmG2F4U2sAAVNGiO,236,DieAntwoord
Banana Brain,Mount Ninji And Da Nice Time Kid,https://open.spotify.com/album/4FrKhXf6FmfUjTy2fPcmiI,2016,94935971,"Banana brains you're the apple of my eye
Stay with me tonight
Cause I'm having the best time of my life
Banana brains you're the apple of my eye
Stay with me tonight
Cause I'm having the best time of my life
Made by God
♪
Ninji
Baby girl, you're so fine
So, so fine, you blow my mind
Look at you, coochie coo
Juicy, tushy, gushy, goo
Boobie one, boobie two
Bouncing like a Looney Tune
Booty booming, cookie juice
Gushing out your coochie, boo
You're so cute like Pikachu
Ain't no one so sweet like you
I whistle then you sneak into
My lonely heart like peek-a-boo
Now every time I think of you
Not by my side I dry my eyes
I just wanna sing lullabies
To my little butterfly
Banana brains you're the apple of my eye
Stay with me tonight
Cause I'm having the best time of my life
Banana brains you're the apple of my eye
Stay with me tonight
Cause I'm having the best time of my life
Turn up!
Banana brains you're the apple of my eye
Stay with me tonight
Cause I'm having the best time of my life
Banana brains you're the apple of my eye
Stay with me tonight
Cause I'm having the best time of my life
♪
Baby boy, you so cool
How could I stay mad at you?
I love you and that is true
You so silly, you so stupid
You the best
I never want you to stress
Everything gonna be cool
Wait and see
Just hold my hand and stay with me
B-B-Baby girl, you been there for me
Through thick and thin with cool energy
You cared for me, yeah, defended me, helped me to defend my enemies
Life's weird it keeps testing me
No other girl at the bar impressing me
You like Yudu, you voodoo fresh to me
You just wanna be different
Get the best of me
It was meant to be
You were sent to me
You and me got wild destiny
You're like a little angel won't ever pressure me
Everything you do is so Zef to me
I love it that you best friends with me
Just wanna treat your heart carefully
Cause everyday I feel blessed to be
The boy chilling with you right next to me
Banana brains you're the apple of my eye
Stay with me tonight
Cause I'm having the best time of my life
Banana brains you're the apple of my eye
Stay with me tonight
Cause I'm having the best time of my life
♪
Stay with me tonight
Stay with me tonight
Stay with me tonight
Cause I'm having the best time of my life
I love your energy!
(The best time)
I love it that you're there for me!
(The best time)
Everything is meant to be!
(The best time)
Baby you were sent to me!
(The best time of my life)
I love your energy!
I love it that you're there for me!
Everything is meant to be!
Baby you were sent to me!
I love your energy!
I love it that you're there for me!
Everything is meant to be!
Baby you were sent to me!",https://open.spotify.com/track/6vcgMBMmbpQVj59wyLkvC7,288,DieAntwoord
BANG ON EM,HOUSE OF ZEF,https://open.spotify.com/album/51EAqzxt0e3vHcYm2CSCVi,2020,3443812,"Ha!
Ja!
Uh!
Yo Ninja, where the fuck you been bro?
Ons soek jou stem naaier, maak vol
Come on!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Yeah muddafukka!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Yeah muddafukka!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Fuck 'em up!
Hit me with that real rap, where your fuckin skills at?
Every time I touch the mic they say: ""You fuckin killed that!""
I fuck 'em up lights out, put the fuckin mic down, right now
Too cold to hold baby iced out
I had no help when I was flat broke
Hit the fuckin lotto and I'm never looking back yo
Mad dough, rap shows generate the cash flow
""Damm bro! You went from a Jetta to a Lambo!""
Is it real, is it fake? Is it ill, is it lame, is it comedy?
It's easy to fake it to make it takes an anomaly
It's easy to not give a fuck when you're living in luxury
My people are starving it's fucked to be living in poverty
We raising our youth yo we open their brains with this poetry
We training the troops to shoot open the gates to the overseas
We changing the future, we fucked if we don't save the planet
I'm vegan as fuck, if they're not fully woke then I bang on 'em
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Yeah muddafukka!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Yeah muddafukka!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Yeah muddafukka!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Yeah muddafukka!
Bang on 'em! Bang on 'em! Bang on 'em! Bang on 'em! Fuck 'em up!",https://open.spotify.com/track/22IJUHCSDevVsH3MwXM8PZ,118,DieAntwoord
BARUCH IN JOU OEG,BARUCH IN JOU OEG,https://open.spotify.com/album/08AQ17x8tblG4QdqlRkZn7,2022,1449947,"Hie kom ons
Jis ja bru van my, hie gat ons, kykie
Is daai tyd, is daai tyd bru van my
Jis ja
Is Baruch in jou oeg in nog heeltyd man
Baruch is darm swaar ne
Baruch is aan fire
Want ons is van die Kaap
Hies die akkedissies nou
It's tyd vir jol man
Ons maak junk
Woo, yo
Kwaai beat man
Ja
Ons gaan nou line ja
Yoh, Baruch
Ai, level up
Nog binne in jou oeg
Is daai tyd
Is December
Daar ry ons
Daar ry ons
Jis ja
Is daai tyd, kom ons line, ons gaan jol
Ai, hepa, skud jou lyfie skattebol
Come on, Die Antwoord en Baruch in die kol
Yoh, is daai tyd, my bru die jol raak maak vol
Woop, woop, hie gat ons, ons maak it lekker vir jou
Zef Goema, en onse het dan nou daai woema
Jis ja, ai, ons het dan nou daai woema
Dressed fresh, ZEF vanaf my kop tot aan my skoene
Baruch, woo, ai
Baruch is in jou oeg
One is Baruch, woo, ai
Baruch is in jou oeg
One is Baruch, ja
Baruch is in jou oeg, woo, ja
Awoop
Baruch, woo, ai
Baruch is in jou oeg
One is Baruch, woo, ai
Baruch is in jou oeg
One is Baruch, ja
Baruch is in jou oeg, woo, ja
Awoop
Uh, mic check
Hie kom hy
Baruch is klas, afrika hie gat ons
Mami hou vas, ja die party gaan bos
Ons maak geraas, die neighbours is jaloers
Ja raas is baas, baruch is in jou oeg
Ai so lekker, woo, dis festive
Jy rock nou saam met die beste
Ninja rolls undetected
Undercover en unsuspected
Hy maak aan dood
When I'm taking it up a level I get tested
Heeltyd annie brand
Ek trap deur die vlamme unaffected
Baruch, Baruch
Baruch is on fire
Baruch, Baruch
Baruch is on fire
Die Antwoord en Baruch, ons is van die kaap
Baruch is freeky en ons like hulle alot
Baruch, woo, ai
Baruch is in jou oeg
One is Baruch, woo, ai
Baruch is in jou oeg
One is Baruch, ja
Baruch is in jou oeg, woo, ja
Awoop
Baruch, woo! ai!
Baruch is in jou oeg!
One is Baruch! Woo! Ai!
Baruch is in jou oeg!
Ons is Baruch! Ja!
Baruch is in jou oeg! Woo! Ja!
Awoop!
Yoh
Ons maak it lekker
Ons gooi it lekker oppie pad
Take it up the level, yoh
Is lekker man
It's that time
Festive
En daar gat ons
Woo
Woo, ja
Woo
Woo, ja
Woo
Woo, ja
Woo
Woo, ja
Haai so lekker
Baruch is aan fire
Baruch
Baruch is in jou oeg
Awoop
Ons is Baruch
Baruch is in jou oeg
Awoop
Ons is Baruch",https://open.spotify.com/track/3xEfLfxbKKQNwDRWde4BJn,288,DieAntwoord
Beat Boy,$O$,https://open.spotify.com/album/7Ja0MmZhnVdFjs5QOPj1lj,2010,8552688,"Yo DJ Hi-Tek
Drop the motherfuckin' beat box dog
Bring that next-level shit
Uh, yo, for real
That's what I'm talking about
Check it out
Totally psychic, open your mind quick as the vibe kicks
Moederfok it, I skeem this vibe's rou
Jislaaik yo, yo, yo, yo, yo check out this hype flow
I go by the name of
N-I-N-J to the motherfuckin' A
Straining your brain like tv static
Check out the phunky 3D grafix
Rave visuals, enter my digital zone
As I recite a poem on the microphone
I'm scoping, third eye strobing
Mind open, sweat streaming
Flesh gleaming, best feeling
High-energy peaking, deep meanings
Freak when I see things
Like this chick in a G-string
Can I touch you, friend?
Beat boy, beat boy
Hit that perfect, beat boy
Hit that perfect, hit that perfect
Hit that perfect, beat boy
Beat boy, beat boy
Hit that perfect, beat boy
Hit that perfect, hit that perfect
Hit that perfect, beat boy
Pump it, uh, yo, pump it, uh, uh
Yo pump it uh, lick it, dip it, twist it, turn it
Pump it, uh, yo, pump it, uh, uh
Lick it, dip it, twist it, turn it, pump it, pump it
I think about you when I masturbate
You can't even believe it but that's okay
On the microphone I fascinate
When I let my third eye exaggerate
Freaky visions, I tell you what I see
Cold concrete scattered with dry leaves
You naked, lying on the pavement
People are standing round with laany shoes
You can hardly move, you look sexy
All of a sudden, the streets are empty
You stand up, open your eye-lids
You in a trench coat, it's french, you look stylish
You walk in the silence, not sure what the time is
It's totally twilight, the sky is violet
An abandoned house, look ahead you see
Some open the door, yes, it's me
With the meanest penis you ever seen
You on your period with no tampon
You kneel down and get with the vibe
Your period blood has crystallized
You offer me the red crystal, it's ill
Grab hold of the mic tight, tonight's the night
The vibe is live, pump up the base
I got tentacles coming out my face
I rise into the air, cut myself open
Warm blood pours down all round
I speak from the deep cut in between my thighs
You covered in blood rubbing your boobs, feeling nice
Rubbing your boobs, feeling nice
Rubbing your boobs, feeling nice
Rubbing your boobs, feeling nice
You covered in blood rubbing your boobs, feeling nice
Beat boy, beat boy
Hit that perfect, beat boy
Hit that perfect, hit that perfect
Hit that perfect, beat boy
Beat boy, beat boy
Hit that perfect, beat boy
Hit that perfect, hit that perfect
Hit that perfect, beat boy
Pump it, uh, yo, pump it, uh, uh
Yo pump it uh, lick it, dip it, twist it, turn it
Pump it, uh, yo, pump it, uh, uh
Lick it, dip it, twist it, turn it, pump it, pump it
You open the door, step into the place
Look around, strange painting on the walls
A chick on the floor on all fours, totally nude
In high heels, the vibes ill
She's hand-cuffed, ankle cuffed, steel collar
With a long lease attached to the ceiling
The scene's appealing, revealing weird feelings
Make you forget about what you believing
Another chick chilling against the wall
Flashing her boobs, legs spread with a nice vagina
And a long stick, there's a nice big
Painting above her head, expensive
You check another chick on all fours
Chilling next to another chick lying on the floor
Legs spread in the middle of the corridor
Close shave, don't touch what you can't afford
The next-room's a bed room, you become two
What I mean is, you plus another you
You get down with yourself while I watch
Body buzzing like a bed of a billion bees
You kneel down in front of the other you
Time to learn something new
The one kneeling is a slave, kneel for the master
Feel the warm hand on the back of your head
You got a tattoo on the back of your neck
An infinity sign that represents your past
Your master touches you on your tattoo
And removes your tattoo, now you brand new
I'm proud of you, dear
There's nothing you not allowed to do here
Listen to me, the infinity tattoo is a key
Let go to my rhyme and open your mind
Let go to my rhyme and open your mind
Open your mind, open your mind
Beat boy, beat boy
Hit that perfect, beat boy
Hit that perfect, hit that perfect
Hit that perfect, beat boy
Beat boy, beat boy
Hit that perfect, beat boy
Hit that perfect, hit that perfect
Hit that perfect, beat boy
Pump it, uh, yo, pump it, uh, uh
Yo pump it, uh, lick it, dip it, twist it, turn it
Pump it, uh, yo, pump it, uh, uh
Lick it, dip it, twist it, turn it, pump it, pump it
Lift up your dress, open up your legs
Your vaginas sewn up, untie the thread
My sublime rhyme inside your head
Your mind is rushing, vagina gushing
Another chick in the corner taking a piss
It looks nice, the whole vibe is totally kinky
Look around, the new room is fancy
Remove your fur coat, remove your panties
I'm rocking a suit and a black face mask
I ejaculate in champagne glass
Your precious flesh is so mysterious
Pierce your nipples with two long needles
Like a crucifix, take you to another level
While I get my freak on, the vibe is mental
Transcendental, we somewhere else now
Still rocking a mask but I've taken off my suit
You rocking a mask too, shaking your nice boobs
I tell you I like you, you feel my piel
We start french kissing with flipping long tongues
We somewhere else now, you dressed conservative
I transform into a big black god
Feel the realness, my dick's lank hard
You can't believe it, a dick in your palm
As big as your arm, we somewhere else now
A hospital uh, get ready for the operation
Lot of guys chilling behind you
Blasts from the past
All rocking a mask, penises out
Drop your panties for the surgeon
I'm not a virgin, it's not a problem
Look in the mirror, you can see it's you
You got two nice boobs and a penis too
Look in the mirror, look in the mirror
Look in the mirror, you can see it's you
Look in the mirror, you can see it's you
You got two nice boobs and a penis too
Look in the mirror, look in the mirror
Look in the mirror, you can see it's you
Look in the mirror, you can see it's you
You got two nice boobs and a penis too
Beat boy, beat boy
Hit that perfect, beat boy
Hit that perfect, hit that perfect
Hit that perfect, beat boy
Beat boy, beat boy
Hit that perfect, beat boy
Hit that perfect, hit that perfect
Hit that perfect, beat boy
Pump it, uh, yo, pump it, uh, uh
Yo pump it, uh, lick it, dip it, twist it, turn it
Pump it, uh, yo, pump it, uh, uh
Lick it, dip it, twist it, turn it, pump it, pump it
The men in the masks gather around the patient
Waiting in anticipation
The old surgeon says, can you see this?
A beautiful woman with a brand new penis
You clap the surgeon, flip him right around
Bend him over, lift his white gown
Grap the surgeon's milky butt-cheeks
Rape the surgeon, break the surgeon
Absorb you penis into your tummy
You a woman again, complete with a vagina
I'm flipping my rhyme uh, tripping your mind out
Ripping and vipping your pip, flip it inside-out
Now you the teacher, you the guide
The real you won't see you denied
You got crazy sex appeal, all tied up
Kneeling on the pavement, you can't say shit
Your mouth is gagged, you surrounded by
A thousand guys totally under your spell
They all totally scared of the power you hold
You can changed the rules of the game
And devour their souls
Now's the time, girl
Let's head back into the outside world
The world of others, it's time to go back
The doors are stuck shut
But the walls are beginning to crack
Uh, now the walls are bleeding
It's all deceiving, you soaking wet
With no regrets, feel your body sweat blood
Peel off your old skin, time to get love
You arrive at the cemetery in time for the ceremony
I give you a hot kiss, grab hold of your ass cheeks
How'd you like to get laid on this
Tomb stone in the middle of the rain forest
My gaze puts you in a dase, I'm loving your long tongue
Look at your beautiful face, covered in hot come
Spread my wings block out the sun
Lie on my back, scope out your bum
My penis stays hard, you breathing heavily
I penetrate you, the feeling's heavenly
Now bounce, girl, you know it's hot
Bounce, bounce, girl, like, oh my god
Totally freaky deaky phunky
What make you leave your body
Transport you to another dimension
You alone in the desert, totally nude
The silence is violent
You floating above the ground
Invisible energies penetrate
Every hole in your body while you levitate
You start coming apart, shape-shifting
Wild, out of control
Destructo, ghan odn ar
Dbir vahniss, dgug rgyud
Hgyur bzan, bhren sseh
Ehrsta sugam, satah",https://open.spotify.com/track/0TgA56npWt0MqarWxTaPR8,500,DieAntwoord
